"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 18-Apr-2024","1W AGO 
 15-Apr-2024","1M AGO 
 22-Mar-2024","1Y AGO 
 21-Apr-2023","52W H 
","52W L 
","365 D % CHNG 
 21-Apr-2023","30 D % CHNG 
 22-Mar-2024"
NIFTY 50,"22,336.40",0.86,"22,336.90","22,375.65","22,198.15","22,147.00","21,995.85","22,272.50","22,096.75","17,624.05","22,775.70","17,885.30",26.74,1.08
NIFTY NEXT 50,"62,683.65",1.29,"62,514.15","62,759.35","62,204.95","61,887.90","61,989.20","62,008.15","59,188.90","38,426.05","63,735.35","39,032.10",63.13,5.9
NIFTY 100,"23,078.90",0.96,"23,067.30","23,115.65","22,934.35","22,859.80","22,740.20","22,967.10","22,633.80","17,455.25","23,494.80","17,726.70",32.22,1.97
NIFTY 200,"12,441.40",0.94,"12,436.95","12,460.10","12,369.70","12,325.85","12,282.70","12,397.40","12,168.75","9,171.85","12,682.55","9,311.90",35.65,2.24
NIFTY 500,"20,574.85",0.93,"20,566.20","20,604.10","20,468.10","20,385.20","20,324.70","20,478.75","19,994.60","14,847.10","20,933.85","15,077.45",38.58,2.9
NIFTY MIDCAP 50,"13,681.25",0.63,"13,686.00","13,703.75","13,612.30","13,595.45","13,687.05","13,841.30","13,329.95","8,731.30","14,171.70","8,861.40",56.69,2.64
NIFTY MIDCAP 100,"49,096.40",0.82,"49,118.10","49,215.85","48,916.15","48,696.95","48,995.70","49,281.00","47,312.85","31,087.35","50,590.20","31,452.85",57.93,3.77
NIFTY SMALLCAP 100,"16,484.20",1.31,"16,379.45","16,502.45","16,369.85","16,270.40","16,286.35","16,211.00","15,056.75","9,369.40","16,691.60","9,635.30",75.94,9.48
INDIA VIX,12.7,-5.62,13.46,13.46,12.61,13.46,13.04,12.47,12.22,11.63,16.74,8.18,9.2,3.93
NIFTY MIDCAP 150,"18,234.30",0.68,"18,265.75","18,302.95","18,205.05","18,111.25","18,195.65","18,283.20","17,502.80","11,707.55","18,722.05","11,828.25",55.75,4.18
NIFTY SMALLCAP 50,"7,675.75",1.19,"7,617.70","7,685.10","7,610.60","7,585.80","7,596.40","7,543.00","6,971.50","4,271.60","7,731.60","4,411.15",79.69,10.1
NIFTY SMALLCAP 250,"15,338.00",1.16,"15,282.50","15,356.95","15,254.00","15,162.20","15,180.60","15,086.65","14,161.40","9,130.80","15,489.50","9,344.30",67.98,8.31
NIFTY MIDSMALLCAP 400,"17,240.90",0.85,"17,237.45","17,279.80","17,190.05","17,095.30","17,153.80","17,168.80","16,322.15","10,781.95","17,582.20","10,942.90",59.91,5.63
NIFTY500 MULTICAP 50:25:25,"14,232.30",0.94,"14,221.60","14,250.60","14,169.55","14,099.70","14,084.60","14,147.60","13,671.55","9,708.35","14,468.30","5,531.55",46.6,4.1
NIFTY LARGEMIDCAP 250,"14,153.10",0.82,"14,161.95","14,171.45","14,101.45","14,038.40","14,035.40","14,138.50","13,731.05","9,844.85","14,453.70","5,635.20",43.76,3.07
NIFTY MIDCAP SELECT,"10,701.25",0.32,"10,767.55","10,767.55","10,681.15","10,667.60","10,746.10","10,801.10","10,402.10","7,065.75","11,119.85","5,520.25",51.45,2.88
NIFTY TOTAL MARKET,"11,566.10",0.97,"11,558.45","11,582.25","11,505.15","11,455.35","11,422.95","11,502.30","11,222.40","8,272.50","11,759.65","6,252.10",39.81,3.06
NIFTY MICROCAP 250,"20,435.00",2,"20,283.65","20,463.60","20,261.95","20,033.45","20,058.35","19,837.00","18,948.50","10,931.90","21,003.40","5,802.95",86.93,7.84
NIFTY BANK,"47,924.90",0.74,"48,145.70","48,146.30","47,628.45","47,574.15","47,069.45","47,773.25","46,863.75","42,118.00","49,057.40","42,105.40",13.79,2.26
NIFTY AUTO,"21,812.70",0.94,"21,846.05","21,854.20","21,653.75","21,609.70","21,520.75","21,680.30","21,046.40","12,898.75","22,238.25","13,071.00",69.11,3.64
NIFTY FINANCIAL SERVICES,"21,326.50",0.72,"21,409.10","21,409.70","21,194.45","21,173.00","20,899.45","21,146.00","20,783.55","18,753.75","21,758.35","18,870.15",13.72,2.61
NIFTY FINANCIAL SERVICES 25/50,"22,945.25",0.94,"22,944.60","22,971.70","22,794.60","22,732.50","22,542.90","22,790.35","22,476.20","17,971.50",-,-,27.68,2.09
NIFTY FMCG,"53,499.45",0.84,"53,318.90","53,594.60","53,128.20","53,055.45","52,825.50","53,174.95","53,775.70","46,669.70","57,966.70","47,074.05",14.63,-0.51
NIFTY IT,"33,538.75",0.51,"33,488.75","33,627.55","33,341.65","33,368.30","33,498.65","34,463.60","35,188.40","26,822.10","38,559.85","27,388.80",25.04,-4.69
NIFTY MEDIA,"1,875.10",0.25,"1,887.20","1,894.30","1,870.05","1,870.35","1,889.55","1,846.10","1,849.80","1,706.65","2,508.60","1,655.15",9.87,1.37
NIFTY METAL,"8,931.20",0.25,"8,995.70","9,041.35","8,904.15","8,909.00","8,824.25","8,899.70","8,130.80","5,677.90","9,060.80","5,544.95",57.3,9.84
NIFTY PHARMA,"18,643.00",1.3,"18,512.45","18,691.65","18,500.10","18,404.60","18,525.75","18,617.65","18,815.60","12,545.75","19,397.25","12,040.65",48.6,-0.92
NIFTY PSU BANK,"7,146.15",3.07,"7,007.10","7,166.15","7,000.95","6,933.25","6,953.35","7,056.10","6,888.50","3,883.00","7,418.75","3,899.50",84.04,3.74
NIFTY PRIVATE BANK,"23,974.05",0.74,"24,077.50","24,077.75","23,856.25","23,796.80","23,534.75","23,916.15","23,452.60","21,322.30","25,009.90","21,436.15",12.44,2.22
NIFTY REALTY,933.1,0.74,935.8,941.35,931.15,926.25,932.75,942.05,874.5,423.5,970.85,441.9,120.33,6.7
NIFTY HEALTHCARE INDEX,"11,751.00",1.08,"11,680.80","11,780.15","11,670.90","11,625.45","11,672.20","11,854.90","11,851.30","7,931.90","12,285.85","6,482.80",48.15,-0.85
NIFTY CONSUMER DURABLES,"33,538.90",2.4,"33,171.00","33,614.35","33,030.95","32,754.25","32,595.00","32,801.35","31,715.65","24,429.75","34,065.20","14,089.55",37.29,5.75
NIFTY OIL & GAS,"11,666.90",0.49,"11,682.45","11,695.90","11,612.30","11,609.85","11,635.30","11,695.15","11,223.00","7,336.40","12,074.30","4,632.70",59.03,3.96
NIFTY MIDSMALL HEALTHCARE,"32,859.05",0.7,"32,780.70","33,021.05","32,767.60","32,630.25","32,965.90","33,234.55",-,-,"34,125.60","20,019.15",-,-
NIFTY DIVIDEND OPPORTUNITIES 50,"5,763.15",0.93,"5,753.70","5,774.75","5,727.10","5,709.90","5,720.20","5,794.05","5,664.85","3,865.65","5,918.55","3,912.10",49.09,1.74
NIFTY GROWTH SECTORS 15,"10,709.90",1.08,"10,644.65","10,734.05","10,618.35","10,595.60","10,567.65","10,743.45","10,914.60","8,638.80","11,281.70","8,725.15",23.97,-1.88
NIFTY100 QUALITY 30,"5,106.80",0.9,"5,098.60","5,114.65","5,076.30","5,061.25","5,061.45","5,127.05","5,077.30","3,860.15",-,-,32.3,0.58
NIFTY50 VALUE 20,"12,106.35",0.98,"12,070.00","12,131.05","12,015.25","11,989.10","11,963.25","12,204.90","12,173.10","9,092.70","12,570.90","9,185.65",33.14,-0.55
NIFTY50 TR 2X LEVERAGE,"17,526.70",1.66,"17,527.45","17,587.20","17,311.70","17,240.95","17,010.20","17,451.50","17,260.95","11,523.80","18,269.95","11,857.95",52.09,1.54
NIFTY50 PR 2X LEVERAGE,"12,248.65",1.66,"12,249.15","12,290.95","12,098.40","12,048.95","11,887.70","12,196.10","12,062.95","8,236.60","12,768.10","8,471.25",48.71,1.54
NIFTY50 TR 1X INVERSE,181.95,-0.79,181.95,183.1,181.65,183.4,184.65,182.3,183.05,220.25,217.2,178.15,-17.39,-0.6
NIFTY50 PR 1X INVERSE,217.45,-0.8,217.45,218.8,217.05,219.2,220.7,217.85,218.7,260.25,256.75,212.9,-16.45,-0.57
NIFTY50 DIVIDEND POINTS,-,-,-,-,-,-,-,-,220.59,2.76,-,-,-100,-100
NIFTY ALPHA 50,"48,566.40",1.72,"48,279.15","48,675.35","48,236.60","47,743.75","48,039.30","48,213.90","45,591.15","26,603.80",-,-,82.55,6.53
NIFTY50 EQUAL WEIGHT,"28,060.35",1.07,"27,970.00","28,107.05","27,877.75","27,762.95","27,648.65","28,056.45","27,851.40","20,131.45",-,-,39.39,0.75
NIFTY100 EQUAL WEIGHT,"29,603.75",1.17,"29,521.50","29,643.50","29,411.80","29,262.05","29,240.40","29,468.75","28,781.75","19,703.40",-,-,50.25,2.86
NIFTY100 LOW VOLATILITY 30,"17,703.15",0.86,"17,679.40","17,731.70","17,613.95","17,551.35","17,564.45","17,769.15","18,003.70","13,134.10",-,-,34.79,-1.67
NIFTY200 QUALITY 30,"18,434.05",0.53,"18,459.70","18,468.60","18,343.85","18,337.50","18,398.40","18,679.10","18,470.70","14,233.95",-,-,29.51,-0.2
NIFTY ALPHA LOW-VOLATILITY 30,"25,944.00",1.25,"25,802.95","25,985.55","25,759.15","25,623.60","25,653.65","25,839.10","25,842.80","17,028.30",-,-,52.36,0.39
NIFTY200 MOMENTUM 30,"31,119.65",1.22,"31,051.35","31,175.00","30,900.15","30,745.65","30,882.85","31,145.35","30,231.25","18,712.15",-,-,66.31,2.94
NIFTY MIDCAP150 QUALITY 50,"20,644.90",0.23,"20,758.60","20,782.00","20,608.50","20,597.60","20,672.70","20,845.40","20,173.05","15,791.85",-,-,30.73,2.34
NIFTY200 ALPHA 30,"23,500.65",1.33,"23,434.40","23,547.15","23,361.95","23,193.20","23,289.55","23,449.65","22,737.20",-,-,-,-,3.36
