Stock_ID,MF_Name,Index_fund_Name
S1,360 ONE WAM Ltd.,360 ONE WAM Ltd.
S2,3M CO.,Not present
S3,3M India Ltd.,3M India Ltd.
S4,5Paisa Capital Ltd.,Not present
S5,Aarti Drugs Ltd.,Aarti Drugs Ltd.
S6,Aarti Industries Ltd.,Aarti Industries Ltd.
S7,Aarti Pharmalabs Ltd.,Aarti Pharmalabs Ltd.
S8,Aavas Financiers Ltd.,Aavas Financiers Ltd.
S9,ABB India Ltd.,ABB India Ltd.
S10,ABB Power Products and Systems India Ltd.,Not present
S11,Abbott India Ltd.,Abbott India Ltd.
S12,Abbott Laboratories,Not present
S13,Accelya Solutions India Ltd.,Accelya Solutions India Ltd.
S14,Accenture PLC,Not present
S15,Accord Cotsyn Ltd.,Not present
S16,Accton Technology Corporation,Not present
S17,Acrysil Ltd.,Not present
S18,Action Construction Equipment Ltd.,Action Construction Equipment Ltd.
N1,Adani Energy Solutions Ltd.,Adani Energy Solutions Ltd.
S19,Adani Enterprises Ltd.,Adani Enterprises Ltd.
S20,Adani Green Energy Ltd.,Adani Green Energy Ltd.
S21,Adani Ports And Special Economic Zone Ltd.,Adani Ports and Special Economic Zone Ltd.
S22,Adani Power Ltd.,Adani Power Ltd.
N2,Adani Total Gas Ltd.,Adani Total Gas Ltd.
N3,Adani Wilmar Ltd.,Adani Wilmar Ltd.
S23,Aditya Birla Capital Ltd.,Aditya Birla Capital Ltd.
S24,Aditya Birla Fashion and Retail Ltd.,Aditya Birla Fashion and Retail Ltd.
S25,Aditya Birla Sun Life AMC Ltd.,Not present
S26,Aditya Vision Ltd.,Not present
S27,Adobe Systems,Not present
S28,Ador Welding Ltd.,Not present
S29,Advanced Enzyme Technologies Ltd.,Advanced Enzyme Tech Ltd.
S30,Advanced Micro Devices Com.,Not present
S31,Aegis Logistics Ltd.,Aegis Logistics Ltd.
S32,Aeroflex Industries Ltd.,Not present
S33,Aether Industries Ltd.,Aether Industries Ltd.
S34,Affle India Ltd.,Affle (India) Ltd.
N6,AGI Greenpac Ltd.,AGI Greenpac Ltd.
S35,Agilent Technologies Inc,Not present
S36,Agro Tech Foods Ltd.,Not present
S37,Ahluwalia Contracts (India) Ltd.,Ahluwalia Contracts (India) Ltd.
S38,AIA Engineering Ltd.,AIA Engineering Ltd.
S39,AIA Group Ltd.,Not present
S40,Air Products and Chemicals,Not present
S41,Ajanta Pharma Limited,Ajanta Pharmaceuticals Ltd.
S42,Ajinomoto Co Inc,Not present
S43,Akzo Nobel India Ltd.,Not present
S44,Alchip Technologies Ltd.,Not present
S45,ALCON INC,Not present
S46,Alembic Pharmaceuticals Ltd.,Alembic Pharmaceuticals Ltd.
S47,Alibaba Group Holding Ltd.,Not present
S48,Alicon Castalloy Ltd.,Not present
S49,Alkem Laboratories Ltd.,Alkem Laboratories Ltd.
S50,Alkyl Amines Chemicals Ltd.,Alkyl Amines Chemicals Ltd.
S51,All Ring Tech Co Ltd.,Not present
S52,Allcargo Logistics Ltd.,Allcargo Logistics Ltd.
S53,Allegion PLC,Not present
S54,Allied Circuit Co Ltd.,Not present
N8,Alok Industries Ltd.,Alok Industries Ltd.
S55,Alphabet Inc,Not present
S56,Alphabet Inc Class C,Not present
S57,Altria Group Inc,Not present
S58,Amara Raja Batteries Limited,Not present
N9,Amara Raja Energy & Mobility Ltd.,Amara Raja Energy & Mobility Ltd.
S59,Amazon.com,Not present
S60,Amber Enterprises India Ltd.,Amber Enterprises India Ltd.
S61,Ambuja Cements Ltd.,Ambuja Cements Ltd.
S62,Amerisource Bergen Corp,Not present
S63,AMETEK Inc,Not present
S64,Amex Carbonates & Chemicals Ltd.,Not present
S65,Ami Organics Ltd.,Ami Organics Ltd.
S66,Amrutanjan Health Care Ltd.,Not present
S67,Analog Devices,Not present
N10,Anand Rathi Wealth Ltd.,Anand Rathi Wealth Ltd.
S68,Anand Rathi Wealth Services Ltd.,Not present
S69,Anant Raj Industries Ltd.,Anant Raj Ltd.
S70,Angel One Ltd.,Angel One Ltd.
S71,Anthem INC,Not present
S72,Antony Waste Handling Cell Ltd.,Not present
S73,Anupam Rasayan India Ltd.,Anupam Rasayan India Ltd.
S74,Apar Industries Ltd.,Apar Industries Ltd.
S75,Apeejay Surrendra Park Hotels Ltd.,Not present
S76,APL Apollo Tubes Ltd.,APL Apollo Tubes Ltd.
S77,Apollo Hospitals Enterprises Ltd.,Apollo Hospitals Enterprise Ltd.
S78,Apollo Hospitals Enterprises Ltd. : Futures Near,Not present
S79,Apollo Pipes Ltd.,Not present
S80,Apollo Tyres Limited,Apollo Tyres Ltd.
S81,Apple,Not present
S82,Aptus Value Housing Finance India Ltd.,Aptus Value Housing Finance India Ltd.
S83,Archean Chemical Industries Ltd.,Archean Chemical Industries Ltd.
S84,Argosy Research Inc,Not present
S85,Arista Networks Inc,Not present
S86,Arman Financial Services Ltd.,Not present
S87,Artemis Medicare Services Ltd.,Not present
S88,Arvind Fashions Ltd.,Arvind Fashions Ltd.
S89,Arvind Ltd.,Arvind Ltd.
S90,Arvind SmartSpaces Ltd.,Not present
S91,Asahi Group Holdings Ltd.,Not present
S92,Asahi India Glass Ltd.,Asahi India Glass Ltd.
S93,Ashapura Minechem Ltd.,Not present
S94,Ashiana Housing Ltd.,Not present
S95,Ashok Leyland Ltd.,Ashok Leyland Ltd.
S96,Ashoka Buildcon Ltd.,Ashoka Buildcon Ltd.
S97,Asia Vital Components Co Ltd.,Not present
S98,Asian Paints (india) Ltd.,Asian Paints Ltd.
S99,Asian Paints (india) Ltd. : Futures Near,Not present
S100,Ask Automotive Ltd.,ASK Automotive Ltd.
S101,Asmedia Technology Inc.,Not present
S102,ASML Holding NV,Not present
S103,Associated Alcohols and Breweries Ltd.,Not present
S104,Associated Cement Companies Ltd.,ACC Ltd.
S105,Astec Lifesciences Ltd.,Not present
S106,Aster DM Healthcare Ltd.,Aster DM Healthcare Ltd.
S107,Astra Microwave Products Ltd.,Astra Microwave Products Ltd.
S108,Astral Ltd.,Astral Ltd.
S109,AstraZeneca Pharma India Ltd.,AstraZenca Pharma India Ltd.
S110,AstraZeneca PLC,Not present
S111,Atul Auto Ltd.,Not present
S112,Atul Ltd.,Atul Ltd.
S113,Au Small Finance Bank Ltd.,AU Small Finance Bank Ltd.
S114,Aurobindo Pharma Ltd.,Aurobindo Pharma Ltd.
S115,Autodesk,Not present
S116,Automotive Axles Ltd.,Not present
S117,Autozone Inc,Not present
S118,Avalon Technologies Ltd.,Avalon Technologies Ltd.
S119,Avanti Feeds Ltd.,Avanti Feeds Ltd.
S120,Avenue Supermarts Ltd.,Avenue Supermarts Ltd.
S121,Axis Bank Ltd.,Axis Bank Ltd.
S122,AXISCADES Engineering Technologies Ltd.,Not present
S123,Azad Engineering Ltd.,Azad Engineering Ltd.
S124,Baidu Inc.,Not present
S125,Bajaj Auto Ltd.,Bajaj Auto Ltd.
S126,Bajaj Consumer Care Ltd.,Bajaj Consumer Care Ltd.
S127,Bajaj Electricals Ltd.,Not present
S128,Bajaj Finance Ltd.,Bajaj Finance Ltd.
S129,Bajaj Finserv Ltd,Bajaj Finserv Ltd.
N17,Bajaj Hindusthan Sugar Ltd.,Bajaj Hindusthan Sugar Ltd.
S130,Bajaj Holdings & Investment Ltd.,Bajaj Holdings & Investment Ltd.
S131,Bajel Projects Ltd.,Not present
N18,Balaji Amines Ltd.,Balaji Amines Ltd.
S132,Balkrishna Industries Ltd.,Balkrishna Industries Ltd.
S133,Balmer Lawrie & Co. Ltd.,Balmer Lawrie & Co. Ltd.
S134,Balrampur Chini Mills Ltd.,Balrampur Chini Mills Ltd.
N19,Banco Products (India) Ltd.,Banco Products (India) Ltd.
S135,Bandhan Bank Ltd.,Bandhan Bank Ltd.
S136,Bangkok Dusit Medical Services PCL,Not present
S137,Bank of America Corportion,Not present
S138,Bank Of Baroda,Bank of Baroda
S139,Bank Of Baroda : Futures Near,Not present
S140,Bank Of India,Bank of India
S141,Bank of Maharashtra,Bank of Maharashtra
S142,Bank of New York Mellon (US),Not present
S143,BarbequeNation Hospitality Ltd.,Barbeque Nation Hospitality Ltd.
S144,BASF India Ltd.,BASF India Ltd.
S145,Bata India Ltd.,Bata India Ltd.
S146,Bata India Ltd. : Futures Near,Not present
S147,BayCurrent Consulting Inc,Not present
S148,Bayer Cropscience Ltd.,Bayer Cropscience Ltd.
S149,Beml Land Assets Ltd.,Not present
N21,BEML Ltd.,BEML Ltd.
S150,Berger Paints India Ltd.,Berger Paints India Ltd.
S151,Berkshire Hathaway Inc,Not present
S152,Best Agrolife Ltd.,Not present
N22,Bhansali Engineering Polymers Ltd.,Bhansali Engineering Polymers Ltd.
S153,Bharat Bijlee Ltd.,Not present
S154,Bharat Dynamics Ltd.,Bharat Dynamics Ltd.
S155,Bharat Earth Movers Ltd.,Not present
S156,Bharat Electronics Ltd.,Bharat Electronics Ltd.
S157,Bharat Electronics Ltd. : Futures Near,Not present
S158,Bharat Forge Ltd.,Bharat Forge Ltd.
S159,Bharat Heavy Electricals Ltd.,Bharat Heavy Electricals Ltd.
S160,Bharat Heavy Electricals Ltd. : Futures Near,Not present
S161,Bharat Petroleum Corporation Ltd.,Bharat Petroleum Corporation Ltd.
S162,Bharat Rasayan Ltd.,Not present
S163,Bharti Airtel Ltd.,Bharti Airtel Ltd.
S164,Bharti Airtel Ltd. Partly Paid,Not present
S165,Bikaji Foods International Ltd.,Bikaji Foods International Ltd.
S166,Biocon Ltd.,Biocon Ltd.
S167,Biogen Idec,Not present
S168,Birla Corporation Ltd.,Birla Corporation Ltd.
S169,Birlasoft Ltd.,Birlasoft Ltd.
S170,Blackrock ORD SHS US,Not present
S171,BLS International Services Ltd.,BLS International Services Ltd.
S172,Blue Dart Express Ltd.,Blue Dart Express Ltd.
S173,Blue Jet Healthcare Ltd.,Blue Jet Healthcare Ltd.
S174,Blue Star Ltd.,Blue Star Ltd.
S175,Bombay Burmah Trading Corporation Ltd.,Bombay Burmah Trading Corporation Ltd.
N23,Bombay Dyeing & Manufacturing Co. Ltd.,Bombay Dyeing & Manufacturing Co. Ltd.
S176,Bond Axis Finance Ltd.,Not present
S177,Bond Bajaj Housing Finance Ltd.,Not present
S178,Bond Canara Bank,Not present
S179,Bond DBS Bank Ltd.,Not present
S180,Bond HDB Financial Services Ltd.,Not present
S181,Bond ICICI Home Finance Company Ltd.,Not present
S182,Bond Indian Railway Finance Corporation Ltd.,Not present
S183,Bond Kotak Mahindra Prime Ltd.,Not present
S184,Bond Mangalore Refinery & Petrochemicals Ltd.,Not present
S185,Bond National Bank for Agriculture & Rural Development,Not present
S186,Bond National Highways Authority of India,Not present
S187,Bond NIIF Infrastructure Finance Ltd.,Not present
S188,Bond Nuclear Power Corporation of India Limited,Not present
S189,Bond Power Finance Corporation Ltd.,Not present
S190,Bond Power Grid Corporation of India Ltd.,Not present
S191,Bond Punjab National Bank,Not present
S192,Bond Rural Electrification Corporation Limited,Not present
S193,Bond Small Industries Development Bank Of India,Not present
S194,Bond SMFG India Credit Ltd.,Not present
S195,Bond Standard Chartered Capital Ltd.,Not present
S196,Bond Summit Digitel Infrastructure Pvt Ltd.,Not present
S197,Bond Tata Capital Ltd.,Not present
S198,Bond TBill,Not present
S199,Booking Holdings Inc,Not present
S200,Borosil Glass Works Ltd.,Not present
S201,Borosil Ltd.,Not present
N24,Borosil Renewables Ltd.,Borosil Renewables Ltd.
S202,Borosil Scientific Ltd.,Not present
S203,Bosch Ltd.,Bosch Ltd.
S204,Boston Scientific Corp,Not present
S205,Brigade Enterprises Ltd.,Brigade Enterprises Ltd.
S206,Bristol Myers Squibb Co,Not present
S207,Britannia Industries Ltd.,Britannia Industries Ltd.
S208,British American Tobacco,Not present
S209,BROOKS Laboratories Ltd.,Not present
S210,BSE Ltd.,BSE Ltd.
S211,Budweiser Brewing Co. APAC Ltd.,Not present
S212,Bunzl PLC,Not present
S213,Burger King India Ltd.,Not present
S214,Butterfly Gandhimathi Appliances Ltd.,Not present
S215,C.E. Info Systems Ltd.,C.E. Info Systems Ltd.
S216,Camlin Fine Sciences Ltd.,Camlin Fine Sciences Ltd.
S217,Campbell Soup Company,Not present
S218,Campus Activewear Ltd.,Campus Activewear Ltd.
S219,Can Fin Homes Ltd.,Can Fin Homes Ltd.
S220,Canadian Pacific Kansas City Ltd.,Not present
S221,Canara Bank,Canara Bank
S222,Capacite Infraprojects Ltd.,Not present
S223,Capital Small Finance Bank Ltd.,Not present
S224,Caplin Point Laboratories Ltd.,Caplin Point Laboratories Ltd.
S225,Capri Global Capital Ltd.,Capri Global Capital Ltd.
S226,Carborundum Universal Ltd.,Carborundum Universal Ltd.
S227,Care Ratings Ltd.,CARE Ratings Ltd.
S228,Carmax Inc,Not present
S229,Cartrade Tech Ltd.,Cartrade Tech Ltd.
S230,Castrol (india) Ltd.,Castrol India Ltd.
S231,CCL Products (India) Ltd.,CCL Products (I) Ltd.
S232,Ceat Ltd.,Ceat Ltd.
S233,Cello World Ltd.,Cello World Ltd.
N27,Central Bank of India,Central Bank of India
S234,Central Depository Services (India) Ltd.,Central Depository Services (India) Ltd.
S235,Centum Electronics Ltd,Not present
S236,Century Enka Ltd.,Not present
S237,Century Plyboards India Ltd.,Century Plyboards (India) Ltd.
S238,Century Textile & Industries Ltd.,Century Textile & Industries Ltd.
N29,Cera Sanitaryware Ltd,Not present
S239,Cera Sanitaryware Ltd.,Cera Sanitaryware Ltd
S240,Cesc Ltd.,CESC Ltd.
S241,CG Power and Industrial Solutions Ltd.,CG Power and Industrial Solutions Ltd.
S242,Chalet Hotels Ltd.,Chalet Hotels Ltd.
S243,Chambal Fertilizers & Chemicals Ltd.,Chambal Fertilizers & Chemicals Ltd.
S244,Charles Schwab Corp.,Not present
S245,Chemcon Speciality Chemicals Ltd.,Not present
S246,Chemplast Sanmar Ltd.,Chemplast Sanmar Ltd.
S247,Chennai Petroleum Corporation Ltd,Chennai Petroleum Corporation Ltd.
S248,Chennai Super Kings Cricket Ltd.,Not present
S249,China Mengniu Dairy Co. Ltd.,Not present
S250,China Merchants Bank Co. Ltd.,Not present
S251,China Motor Corporation,Not present
N31,Choice International Ltd.,Choice International Ltd.
S252,Cholamandalam Financial Holdings Ltd.,Cholamandalam Financial Holdings Ltd.
S253,Cholamandalam Investment & Finance Co. Ltd.,Cholamandalam Investment and Finance Company Ltd.
S254,CIE AUTOMOTIVE INDIA Ltd.,CIE Automotive India Ltd.
N33,Cigniti Technologies Ltd.,Cigniti Technologies Ltd.
S255,Cipla Ltd.,Cipla Ltd.
S256,City Online Services Ltd,Not present
S257,City Union Bank Ltd.,City Union Bank Ltd.
S258,Clariant Chemicals (India) Ltd.,Not present
S259,Clean Science and Technology Ltd.,Clean Science and Technology Ltd.
S260,Cms Info Systems Ltd.,CMS Info Systems Ltd.
S261,Coal India Ltd.,Coal India Ltd.
S262,Coal India Ltd. : Futures Near,Not present
S263,CocaCola Co,Not present
S264,Cochin Shipyard Ltd.,Cochin Shipyard Ltd.
S265,Coforge Ltd.,Coforge Ltd.
S266,Cognizant Technology Solutions Corp.,Not present
S267,Colgate Palmolive (India) Limited,Colgate Palmolive (India) Ltd.
S268,Comcast Corporation,Not present
S269,Commercial Engineers & Body Builders Co. Ltd.,Not present
S270,Computer Age Management Services Pvt Ltd.,Computer Age Management Services Ltd.
S271,Concord Biotech Ltd.,Concord Biotech Ltd.
S272,Confidence Petroleum India Ltd.,Confidence Petroleum India Ltd.
S273,Container Corporation Of India Ltd.,Container Corporation of India Ltd.
S274,Container Corporation Of India Ltd. : Futures Near,Not present
S275,Coromandel International Ltd.,Coromandel International Ltd.
S276,Corteva Inc,Not present
S277,Costco Wholesale Corporation,Not present
S278,Craftsman Automation Ltd.,Craftsman Automation Ltd.
S279,CreditAccess Grameen Ltd.,CreditAccess Grameen Ltd.
S280,Credo Brands Marketing Ltd.,Not present
S281,Crescent Finstock Ltd.,Not present
S282,CRISIL Ltd.,CRISIL Ltd.
S283,Crompton Greaves Consumer Electricals Ltd.,Crompton Greaves Consumer Electricals Ltd.
S284,Crowdstrike Holdings Inc,Not present
S285,Crystal Cable Industries Ltd.,Not present
S286,CSB Bank Ltd.,CSB Bank Ltd.
S287,Cummins India Ltd.,Cummins India Ltd.
S288,CVS Caremark Corp,Not present
S289,Cyient DLM Ltd.,Cyient DLM Ltd.
S290,Cyient Ltd.,Cyient Ltd.
N36,D.B.Corp Ltd.,D.B.Corp Ltd.
S291,Dabur India Ltd.,Dabur India Ltd.
S292,Daiichi Life Holdings Inc,Not present
S293,Daikin Industries Ltd.,Not present
S294,Daiwa House,Not present
S295,Dalmia Bharat Ltd.,Dalmia Bharat Ltd.
N37,Dalmia Bharat Sugar and Industries Ltd.,Dalmia Bharat Sugar and Industries Ltd.
S296,Data Patterns India Ltd.,Data Patterns (India) Ltd.
N39,Datamatics Global Services Ltd.,Datamatics Global Services Ltd.
S297,DB Corp Ltd.,Not present
S298,DBS Group Holdings Ltd.,Not present
S299,DCB Bank Ltd.,DCB Bank Ltd.
S300,DCM Shriram Ltd.,DCM Shriram Ltd.
S301,DCX Systems Ltd.,DCX Systems Ltd.
S302,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Deepak Fertilisers & Petrochemicals Corp. Ltd.
S303,Deepak Nitrite Ltd.,Deepak Nitrite Ltd.
S304,Deldot Systems (P) Ltd.,Not present
S305,Delhivery Ltd.,Delhivery Ltd.
S306,Delta Corp Ltd.,Delta Corp Ltd.
N40,Den Networks Ltd.,Den Networks Ltd.
S307,Denso Corp,Not present
S308,Devyani International Ltd.,Devyani International Ltd.
N41,Dhani Services Ltd.,Dhani Services Ltd.
S309,Dhanuka Agritech Ltd.,Dhanuka Agritech Ltd.
S310,Digidrive Distributors Ltd.,Not present
S311,Dilip Buildcon Ltd.,Dilip Buildcon Ltd.
S312,Disa India Ltd.,Not present
S313,Dish T V India Ltd.,Dish TV India Ltd.
S314,Dishman Carbogen Amcis Ltd.,Dishman Carbogen Amcis Ltd.
S315,Divgi Torqtransfer Systems Private Ltd.,Not present
S316,Divis Laboratories Ltd.,Divi's Laboratories Ltd.
S317,Dixon Technologies (India) Ltd.,Dixon Technologies (India) Ltd.
S318,DLF Ltd.,DLF Ltd.
