Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
ICICI Bank Ltd.,Private sector bank,11.64,46296.8,7.11%,0.15%,7.11% (Feb 2024),5.78% (Nov 2023),4.40 Cr,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Reliance Industries Ltd.,Refineries & marketing,5.42,35287.3,5.42%,0.12%,5.42% (Feb 2024),2.7% (Oct 2023),1.21 Cr,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Infosys Ltd.,Computers - software & consulting,5.4,35151.9,5.40%,0.03%,5.4% (Feb 2024),3.12% (Apr 2023),2.10 Cr,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,5.35,34823.9,5.35%,-0.59%,5.94% (Jan 2024),5.08% (Aug 2023),3.10 Cr,-0.20 Cr,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
State Bank Of India,Public sector bank,5.06,32916.4,5.06%,0.72%,5.06% (Feb 2024),4.04% (Nov 2023),4.40 Cr,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
HDFC Bank Ltd.,Private sector bank,11.64,29471.4,4.53%,-0.19%,7.73% (Jul 2023),4.53% (Feb 2024),2.10 Cr,0.00,Other,7.78,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
MRF Ltd.,Tyres & rubber products,4.05,26344.5,4.05%,-0.20%,4.25% (Jan 2024),3.23% (Mar 2023),1.80 L,-0.14 L,Mid Cap,8.65,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Divis Laboratories Ltd.,Pharmaceuticals,6.2,24072.7,3.70%,-0.20%,4.35% (Sep 2023),3.18% (Mar 2023),69.00 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Bajaj Finance Ltd.,Non banking financial company (nbfc),5.49,22836.6,3.51%,-0.20%,4.07% (Nov 2023),3.09% (Mar 2023),35.16 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
InterGlobe Aviation Ltd.,Airline,3.39,22087.5,3.39%,0.20%,3.39% (Feb 2024),1.16% (Mar 2023),70.00 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
