Stock,Stock_ID,Sector_ID
360 ONE WAM Ltd.,S1,SEC1
3M CO.,S2,SEC2
3M India Ltd.,S3,SEC3
5Paisa Capital Ltd.,S4,SEC4
Aarti Drugs Ltd.,S5,SEC5
Aarti Industries Ltd.,S6,SEC6
Aarti Pharmalabs Ltd.,S7,SEC5
Aavas Financiers Ltd.,S8,SEC7
ABB India Ltd.,S9,SEC8
ABB Power Products and Systems India Ltd.,S10,SEC8
Abbott India Ltd.,S11,SEC5
Abbott Laboratories,S12,SEC2
Accelya Solutions India Ltd.,S13,SEC9
Accenture PLC,S14,SEC2
Accord Cotsyn Ltd.,S15,SEC2
Accton Technology Corporation,S16,SEC2
Acrysil Ltd.,S17,SEC10
Action Construction Equipment Ltd.,S18,SEC11
Adani Enterprises Ltd.,S19,SEC12
Adani Green Energy Ltd.,S20,SEC13
Adani Ports And Special Economic Zone Ltd.,S21,SEC14
Adani Power Ltd.,S22,SEC13
Aditya Birla Capital Ltd.,S23,SEC15
Aditya Birla Fashion and Retail Ltd.,S24,SEC16
Aditya Birla Sun Life AMC Ltd.,S25,SEC17
Aditya Vision Ltd.,S26,SEC16
Adobe Systems,S27,SEC2
Ador Welding Ltd.,S28,SEC18
Advanced Enzyme Technologies Ltd.,S29,SEC19
Advanced Micro Devices Com.,S30,SEC2
Aegis Logistics Ltd.,S31,SEC20
Aeroflex Industries Ltd.,S32,SEC21
Aether Industries Ltd.,S33,SEC6
Affle India Ltd.,S34,SEC22
Agilent Technologies Inc,S35,SEC2
Agro Tech Foods Ltd.,S36,SEC23
Ahluwalia Contracts (India) Ltd.,S37,SEC24
AIA Engineering Ltd.,S38,SEC25
AIA Group Ltd.,S39,SEC2
Air Products and Chemicals,S40,SEC2
Ajanta Pharma Limited,S41,SEC5
Ajinomoto Co Inc,S42,SEC2
Akzo Nobel India Ltd.,S43,SEC26
Alchip Technologies Ltd.,S44,SEC2
ALCON INC,S45,SEC2
Alembic Pharmaceuticals Ltd.,S46,SEC5
Alibaba Group Holding Ltd.,S47,SEC2
Alicon Castalloy Ltd.,S48,SEC27
Alkem Laboratories Ltd.,S49,SEC5
Alkyl Amines Chemicals Ltd.,S50,SEC6
All Ring Tech Co Ltd.,S51,SEC2
Allcargo Logistics Ltd.,S52,SEC28
Allegion PLC,S53,SEC2
Allied Circuit Co Ltd.,S54,SEC2
Alphabet Inc,S55,SEC2
